id,needType,title,location,region,category,itemName,requiredQuantity,currentQuantity,unit,severity,deadline,timeSlots,requiredSkills,providedSupport,description,publisherName,contactPhone,contactEmail,status,createdAt,managementKey
N011,rescue,物資運輸車輛,花蓮市區至光復鄉,東部,transport,貨車,5,2,台,high,2024-10-20,每日 08:00-18:00（需要連續服務一週）,職業駕照、熟悉山區道路,提供油料、司機食宿,"需要貨車協助運送物資到災區，部分道路尚未完全恢復",花蓮縣政府,03-8227171,hualien@gov.tw,ongoing,2024-10-08,KEY-N011-EFG123
N012,material,帳篷與睡袋,花蓮縣光復鄉臨時安置區,東部,shelter_supply,露營帳篷,40,12,頂,medium,2024-10-22,,,,"部分災民住所全毀，需要臨時居住設施",花蓮縣社會處,03-8227171,social@example.com,ongoing,2024-10-08,KEY-N012-HIJ456
N013,material,災區道路照明設備,花蓮縣光復鄉主要道路,東部,other_material,太陽能路燈,15,15,組,medium,2024-10-28,,,,"道路照明設備已全數到位，晚間行車更安全",花蓮縣工務處,03-8227171,public-works@gov.tw,fulfilled,2024-10-09,KEY-N013-XYZ789
N014,material,淨水設備,花蓮縣光復鄉社區活動中心,東部,water,簡易淨水器,8,3,台,high,2024-10-18,,,,"社區活動中心作為臨時避難所，需要淨水設備確保飲用水安全",花蓮縣環保局,03-8221500,environment@gov.tw,ongoing,2024-10-09,KEY-N014-QWE456
N015,rescue,建築安全評估專家,花蓮縣光復鄉受災建築,東部,professional,土木技師,4,0,人,high,2024-10-13,2024-10-11 至 2024-10-13 每日 09:00-18:00,土木技師證照、建築結構專業,提供專業費用、交通食宿,"需要專業人員評估受災建築安全，尚無任何專家認領",花蓮縣建設處,03-8227171,construction@gov.tw,urgent,2024-10-09,KEY-N015-ASD123
N016,material,泡麵與罐頭食品,花蓮縣富里鄉避難所,東部,food,泡麵,300,120,包,medium,2024-10-25,,,,"避難所需要耐放食品，目前庫存不足",富里鄉公所,03-8831111,fuli@gov.tw,ongoing,2024-10-09,KEY-N016-ZXC789
N017,material,民生用水水塔,花蓮縣玉里鎮,東部,water,儲水桶,25,8,個,high,2024-10-16,,,,"自來水系統修復中，需要儲水設備供應生活用水",玉里鎮公所,03-8882171,yuli@gov.tw,ongoing,2024-10-09,KEY-N017-VBN456
N018,rescue,道路清理志工,花蓮縣瑞穗鄉紅葉村,東部,labor,清理志工,15,6,人,medium,2024-10-17,2024-10-16 09:00-16:00,無需專業技能,提供午餐、飲水、保險,"道路落石清理需要人力，已有部分志工報名",紅葉社區發展協會,03-8871234,redleaf@example.com,ongoing,2024-10-09,KEY-N018-MLK321
N019,material,急救藥品補充,花蓮縣鳳林鎮衛生所,東部,medical_supply,常備藥品,50,50,盒,medium,2024-10-24,,,,"衛生所藥品已獲充分補給，可服務災民",鳳林鎮衛生所,03-8762121,fonglin-health@gov.tw,fulfilled,2024-10-09,KEY-N019-POI654
N020,rescue,醫師支援,花蓮縣玉里鎮臨時醫療站,東部,medical_staff,內科醫師,3,1,人,high,2024-10-19,2024-10-14 至 2024-10-19 每日輪班,醫師執照、內科專業,提供食宿、交通、專業費用,"醫療站看診人數多，醫師人力不足",玉里醫院,03-8886141,yulihosp@example.com,ongoing,2024-10-09,KEY-N020-UYT987
N021,material,兒童衣物,花蓮縣光復鄉避難所,東部,clothing,兒童外套,80,35,件,medium,2024-10-28,,,,"避難所有多位學齡兒童，需要適合的保暖衣物",光復國小,03-8701234,gfes@example.com,ongoing,2024-10-09,KEY-N021-QAZ147
N022,rescue,發電機操作員,花蓮縣卓溪鄉臨時供電站,東部,equipment,發電機操作員,2,2,人,medium,2024-10-20,每日輪班（需連續服務五天）,發電機操作經驗,提供食宿、津貼,"發電機維護人員已到位，供電穩定",台電玉里服務所,03-8882345,taipower-yl@example.com,fulfilled,2024-10-09,KEY-N022-WSX258
N023,material,個人清潔用品,花蓮縣光復鄉避難所,東部,daily_necessities,盥洗用品組,100,25,組,medium,2024-10-23,,,,"避難所需要牙刷、毛巾、肥皂等基本清潔用品",馬太鞍社區發展協會,03-8701234,mataan@example.com,ongoing,2024-10-10,KEY-N023-EDC369
N024,rescue,翻譯志工,花蓮縣各避難所,東部,professional,越南語翻譯,3,1,人,medium,2024-10-25,彈性時段（需至少服務五天）,越南語流利,提供交通補助,"避難所有越南籍移工受災，需要翻譯協助溝通",花蓮縣新住民中心,03-8223123,immigrant@gov.tw,ongoing,2024-10-10,KEY-N024-RFV741
N025,material,毛毯與棉被,花蓮縣富里鄉避難所,東部,shelter_supply,保暖棉被,60,60,件,medium,2024-10-26,,,,"棉被已收集完成，避難所禦寒物資充足，感謝各界捐助",富里鄉公所,03-8831111,fuli@gov.tw,fulfilled,2024-10-10,KEY-N025-TGB852
N026,material,老人營養品,花蓮縣光復鄉避難所,東部,food,營養奶粉,40,15,罐,medium,2024-10-27,,,,"避難所有多位年長者，需要易消化的營養補給品",花蓮縣長照中心,03-8222999,longcare@gov.tw,ongoing,2024-10-10,KEY-N026-YHN963
N027,rescue,無人機搜索操作員,花蓮縣光復鄉山區,東部,equipment,無人機操作員,2,0,人,high,2024-10-14,2024-10-13 至 2024-10-14 日間,無人機操作證照、搜救經驗,提供食宿、設備補助,"需要無人機協助搜索偏遠山區，尚無操作員認領",花蓮縣消防局,03-8227171,fire@gov.tw,urgent,2024-10-10,KEY-N027-UJM147
N028,material,行動電源與充電器,花蓮縣各避難所,東部,other_material,行動電源,50,18,個,medium,2024-10-22,,,,"避難所電力供應有限，災民需要充電設備聯繫家人",花蓮縣社會處,03-8227171,social@example.com,ongoing,2024-10-10,KEY-N028-IKO258
N029,rescue,獸醫師支援,花蓮縣光復鄉動物收容區,東部,professional,獸醫師,2,1,人,medium,2024-10-21,2024-10-15 至 2024-10-18 每日 10:00-17:00,獸醫師執照,提供交通補助、醫療器材,"災區受傷動物需要醫療照護，需要更多獸醫協助",花蓮縣動物防疫所,03-8227431,animal@gov.tw,ongoing,2024-10-10,KEY-N029-PLM369
N030,material,手電筒與電池,花蓮縣卓溪鄉,東部,other_material,LED手電筒,80,30,支,medium,2024-10-24,,,,"山區夜間照明需求大，手電筒和電池補充中",卓溪鄉公所,03-8841129,zhuoxi@gov.tw,ongoing,2024-10-10,KEY-N030-QWE753
N031,rescue,廚師志工,花蓮縣光復鄉避難所,東部,labor,廚師,4,2,人,medium,2024-10-20,每日 06:00-09:00 與 17:00-20:00（需連續服務一週）,烹飪經驗、大量備餐能力,提供食材、交通補助,"避難所需要廚師準備熱食，已有兩位志工但仍需更多人手",馬太鞍社區發展協會,03-8701234,mataan@example.com,ongoing,2024-10-10,KEY-N031-ASD951
N032,material,消毒用品,花蓮縣各避難所,東部,medical_supply,消毒液,100,100,瓶,high,2024-10-21,,,,"避難所環境消毒用品已備齊，感謝各界捐贈",花蓮縣衛生局,03-8227141,health@example.com,fulfilled,2024-10-10,KEY-N032-ZXC357
N033,material,便當餐盒,花蓮縣光復鄉救災現場,東部,food,便當,200,80,份,high,2024-10-15,,,,"救災人員與志工需要餐食，目前供應不足",花蓮縣政府,03-8227171,hualien@gov.tw,ongoing,2024-10-11,KEY-N033-VBN159
N034,rescue,機車維修技師,花蓮縣光復鄉,東部,professional,機車技師,2,1,人,medium,2024-10-18,2024-10-16 至 2024-10-18 每日 10:00-18:00,機車維修經驗,提供零件、工具、食宿,"災區機車是主要交通工具，許多車輛受損需維修",光復鄉公所,03-8701234,guangfu@gov.tw,ongoing,2024-10-11,KEY-N034-MLK753
N035,material,雨衣雨鞋,花蓮縣光復鄉救災現場,東部,clothing,雨衣,100,40,件,medium,2024-10-19,,,,"救災與清理人員需要防水裝備，目前數量不足",花蓮縣消防局,03-8227171,fire@gov.tw,ongoing,2024-10-11,KEY-N035-POI951
N036,material,塑膠防水布,花蓮縣光復鄉受災戶,東部,shelter_supply,防水帆布,50,22,張,high,2024-10-17,,,,"受損屋頂需要防水布遮蔽，避免雨水滲入",光復鄉公所,03-8701234,guangfu@gov.tw,ongoing,2024-10-11,KEY-N036-UYT357
N037,rescue,環境清潔消毒人員,花蓮縣各避難所,東部,labor,清潔人員,8,8,人,medium,2024-10-22,每日 08:00-17:00（需連續服務一週）,無需專業技能（會提供訓練）,提供防護裝備、午餐、津貼,"避難所環境清潔人力已充足，環境維護良好",花蓮縣環保局,03-8221500,environment@gov.tw,fulfilled,2024-10-11,KEY-N037-IKO159
N038,material,急難救助金,花蓮縣光復鄉受災戶,東部,other_material,現金援助,1000000,450000,元,high,2024-10-30,,,,"受災戶需要緊急現金援助支應生活，目前募款進行中",花蓮縣社會處,03-8227171,social@example.com,ongoing,2024-10-11,KEY-N038-QAZ753
N039,rescue,法律諮詢志工,花蓮縣光復鄉服務站,東部,professional,律師,3,2,人,medium,2024-10-25,週末 13:00-17:00（需服務至少兩次）,律師證照,提供服務場地,"受災民眾需要法律諮詢，如保險理賠、房屋修繕爭議等",花蓮律師公會,03-8225678,lawyer@example.com,ongoing,2024-10-11,KEY-N039-WSX357
N040,material,折疊桌椅,花蓮縣富里鄉避難所,東部,shelter_supply,折疊桌椅組,20,20,組,medium,2024-10-23,,,,"避難所活動空間設備已齊全，災民生活品質改善",富里鄉公所,03-8831111,fuli@gov.tw,fulfilled,2024-10-11,KEY-N040-EDC159

